segment,antecedents,consequents,support,confidence,lift,n_baskets
Promo Hunter,carrots,spinach,0.028,0.262,2.375,487
Promo Hunter,spinach,carrots,0.028,0.256,2.375,487
Promo Hunter,salad,tomatoes,0.029,0.296,2.351,501
Promo Hunter,tomatoes,salad,0.029,0.231,2.351,501
Promo Hunter,spinach,asparagus,0.047,0.428,2.318,814
Routine Family Provisioner,fresh bread,butter,0.02,0.237,2.678,56
Routine Family Provisioner,butter,fresh bread,0.02,0.23,2.678,56
Routine Family Provisioner,energy drink,airpods,0.031,0.362,2.355,85
Routine Family Provisioner,airpods,energy drink,0.031,0.201,2.355,85
Routine Family Provisioner,bluetooth headphones,airpods,0.035,0.358,2.33,97
Routine Family Provisioner,airpods,bluetooth headphones,0.035,0.229,2.33,97
Routine Family Provisioner,laptop,airpods,0.021,0.294,1.917,58
Routine Family Provisioner,airpods,laptop,0.021,0.137,1.917,58
Routine Family Provisioner,brownies,airpods,0.021,0.284,1.847,59
Routine Family Provisioner,airpods,brownies,0.021,0.139,1.847,59
Routine Generalist,avocado,tomatoes,0.02,0.241,2.782,488
Routine Generalist,tomatoes,avocado,0.02,0.236,2.782,488
Routine Generalist,energy drink,bluetooth headphones,0.021,0.237,2.736,510
Routine Generalist,bluetooth headphones,energy drink,0.021,0.247,2.736,510
Routine Generalist,bluetooth headphones,airpods,0.032,0.368,2.687,761
Routine Generalist,airpods,bluetooth headphones,0.032,0.233,2.687,761
Routine Generalist,salad,spinach,0.021,0.259,2.682,507
Routine Generalist,spinach,salad,0.021,0.22,2.682,507
Routine Generalist,tomatoes,carrots,0.021,0.242,2.677,499
Routine Generalist,carrots,tomatoes,0.021,0.232,2.677,499
Routine Generalist,energy drink,airpods,0.033,0.361,2.635,777
Routine Generalist,airpods,energy drink,0.033,0.238,2.635,777
Routine Generalist,spinach,avocado,0.022,0.223,2.624,514
Routine Generalist,avocado,spinach,0.022,0.254,2.624,514
Routine Generalist,salad,asparagus,0.033,0.402,2.552,785
Routine Generalist,asparagus,salad,0.033,0.209,2.552,785
Routine Generalist,tomatoes,spinach,0.021,0.243,2.518,503
Routine Generalist,spinach,tomatoes,0.021,0.218,2.518,503
Routine Generalist,avocado,asparagus,0.033,0.392,2.494,795
Routine Generalist,asparagus,avocado,0.033,0.212,2.494,795
Routine Generalist,napkins,babies food,0.021,0.237,2.485,501
Routine Generalist,babies food,napkins,0.021,0.22,2.485,501
Routine Generalist,carrots,spinach,0.022,0.24,2.484,517
Routine Generalist,spinach,carrots,0.022,0.224,2.484,517
Routine Generalist,napkins,cooking oil,0.02,0.228,2.432,481
Routine Tech,bluetooth headphones,airpods,0.032,0.478,4.013,256
Routine Tech,airpods,bluetooth headphones,0.032,0.266,4.013,256
Routine Tech,energy drink,bluetooth headphones,0.021,0.253,3.821,167
Routine Tech,bluetooth headphones,energy drink,0.021,0.312,3.821,167
Routine Tech,energy drink,airpods,0.034,0.417,3.506,275
Routine Tech,airpods,energy drink,0.034,0.286,3.506,275
Routine Tech,iphone 10,airpods,0.021,0.403,3.389,167
Routine Tech,airpods,iphone 10,0.021,0.174,3.389,167
Routine Tech,"body spray, shampoo",almonds,0.023,0.241,1.617,183
Routine Tech,almonds,"body spray, shampoo",0.023,0.152,1.617,183
Routine Tech,"almonds, shampoo",cotton buds,0.022,0.321,1.613,175
Routine Tech,cotton buds,"almonds, shampoo",0.022,0.109,1.613,175
Routine Tech,"gluten free bar, toothpaste",razor,0.022,0.333,1.599,177
Routine Tech,razor,"gluten free bar, toothpaste",0.022,0.105,1.599,177
Routine Tech,"cotton buds, shampoo",almonds,0.022,0.236,1.582,175
Routine Tech,almonds,"cotton buds, shampoo",0.022,0.145,1.582,175
Routine Tech,cotton buds,"gluten free bar, shampoo",0.022,0.109,1.567,175
Routine Tech,"gluten free bar, shampoo",cotton buds,0.022,0.312,1.567,175
Routine Tech,"almonds, shampoo",body spray,0.023,0.336,1.567,183
Routine Tech,body spray,"almonds, shampoo",0.023,0.106,1.567,183
Routine Tech,shampoo,"almonds, cotton buds",0.022,0.063,1.565,175
Routine Tech,"almonds, cotton buds",shampoo,0.022,0.54,1.565,175
Routine Tech,"cotton buds, toothpaste",toilet paper,0.028,0.328,1.551,230
Routine Tech,toilet paper,"cotton buds, toothpaste",0.028,0.135,1.551,230
Routine Tech,"nonfat milk, toothpaste",shower gel,0.026,0.532,1.55,208
Routine Young Parents,cooking oil,napkins,0.035,0.293,2.369,774
Routine Young Parents,napkins,cooking oil,0.035,0.284,2.369,774
Routine Young Parents,cooking oil,babies food,0.036,0.305,2.234,805
Routine Young Parents,babies food,cooking oil,0.036,0.268,2.234,805
Routine Young Parents,napkins,babies food,0.036,0.293,2.148,799
Routine Young Parents,babies food,napkins,0.036,0.266,2.148,799
Routine Young Parents,napkins,dog food,0.038,0.305,2.066,832
Routine Young Parents,dog food,napkins,0.038,0.255,2.066,832
Routine Young Parents,cooking oil,dog food,0.036,0.298,2.018,787
Routine Young Parents,dog food,cooking oil,0.036,0.242,2.018,787
Routine Young Parents,pet food,cooking oil,0.021,0.236,1.973,455
Routine Young Parents,cooking oil,pet food,0.021,0.172,1.973,455
Routine Young Parents,fresh bread,napkins,0.021,0.239,1.936,473
Routine Young Parents,napkins,fresh bread,0.021,0.173,1.936,473
Routine Young Parents,pet food,napkins,0.021,0.239,1.932,460
Routine Young Parents,napkins,pet food,0.021,0.169,1.932,460
Routine Young Parents,dog food,babies food,0.039,0.263,1.928,856
Routine Young Parents,babies food,dog food,0.039,0.284,1.928,856
Routine Young Parents,milk,napkins,0.021,0.235,1.897,473
Routine Young Parents,napkins,milk,0.021,0.173,1.897,473
Routine Young Parents,cooking oil,milk,0.02,0.167,1.83,442
Routine Young Parents,milk,cooking oil,0.02,0.219,1.83,442
Routine Young Parents,fresh bread,babies food,0.022,0.248,1.819,490
Routine Young Parents,babies food,fresh bread,0.022,0.163,1.819,490
Routine Young Parents,milk,babies food,0.023,0.247,1.814,499
