customer_id,segment,value_cluster,mix_cluster
123,Engaged Generalist,2,3
124,Routine Young Parents,0,0
125,Engaged Generalist,2,3
126,Engaged Generalist,2,3
127,Engaged Generalist,2,3
128,Routine Tech,0,2
129,Routine Young Parents,0,0
130,Routine Young Parents,0,0
131,Promo Hunter,1,3
132,Engaged Generalist,2,3
134,Promo Hunter,1,3
135,Engaged Generalist,2,3
136,Routine Generalist,0,3
137,Routine Young Parents,0,0
138,Promo Hunter,1,3
139,Routine Generalist,0,3
141,Routine Young Parents,0,0
142,Engaged Generalist,2,3
144,Routine Tech,0,2
145,Routine Tech,0,2
146,Routine Young Parents,0,0
147,Engaged Generalist,2,3
148,Routine Young Parents,0,0
149,Engaged Generalist,2,2
152,Routine Generalist,0,3
154,Routine Tech,0,2
157,Routine Generalist,0,3
158,Engaged Generalist,2,3
159,Routine Family Provisioner,0,1
160,Routine Young Parents,0,0
161,Engaged Generalist,2,3
162,Promo Hunter,1,3
163,Routine Young Parents,0,0
165,Engaged Generalist,2,3
166,Engaged Generalist,2,3
168,Engaged Generalist,2,3
170,Promo Hunter,1,2
171,Promo Hunter,1,3
172,Routine Young Parents,0,0
173,Promo Hunter,1,3
174,Routine Family Provisioner,0,1
176,Promo Hunter,1,3
179,Promo Hunter,1,3
180,Engaged Generalist,2,3
182,Routine Generalist,0,3
184,Routine Generalist,0,3
185,Engaged Generalist,2,3
186,Engaged Generalist,2,3
187,Routine Tech,0,2
188,Routine Young Parents,0,0
189,Routine Young Parents,0,0
191,Routine Generalist,0,3
192,Promo Hunter,1,3
193,Routine Young Parents,0,0
195,Routine Family Provisioner,0,1
196,Promo Hunter,1,3
197,Routine Generalist,0,3
198,Promo Hunter,1,3
199,Routine Family Provisioner,0,1
200,Engaged Generalist,2,3
201,Engaged Generalist,2,3
202,Routine Generalist,0,3
203,Promo Hunter,1,3
204,Engaged Generalist,2,3
205,Routine Young Parents,0,0
206,Engaged Generalist,2,3
207,Engaged Generalist,2,3
208,Engaged Generalist,2,3
210,Routine Generalist,0,3
211,Engaged Generalist,2,3
212,Routine Generalist,0,3
213,Routine Generalist,0,3
214,Promo Hunter,1,3
215,Engaged Generalist,2,3
216,Promo Hunter,1,3
217,Promo Hunter,1,3
218,Promo Hunter,1,1
219,Routine Tech,0,2
220,Routine Generalist,0,3
221,Engaged Family Provisioner,2,1
225,Routine Generalist,0,3
226,Routine Generalist,0,3
229,Engaged Generalist,2,3
231,Engaged Generalist,2,3
232,Routine Generalist,0,3
233,Routine Generalist,0,3
235,Routine Generalist,0,3
236,Routine Tech,0,2
238,Promo Hunter,1,1
240,Routine Tech,0,2
241,Routine Generalist,0,3
242,Engaged Generalist,2,3
243,Routine Young Parents,0,0
244,Routine Family Provisioner,0,1
245,Routine Generalist,0,3
248,Promo Hunter,1,1
249,Routine Generalist,0,3
250,Routine Young Parents,0,0
251,Promo Hunter,1,3
254,Promo Hunter,1,1
256,Engaged Generalist,2,3
257,Engaged Generalist,2,3
258,Routine Generalist,0,3
259,Promo Hunter,1,3
260,Routine Tech,0,2
261,Engaged Generalist,2,3
262,Promo Hunter,1,3
263,Routine Tech,0,2
264,Routine Young Parents,0,0
265,Promo Hunter,1,3
266,Promo Hunter,1,3
270,Routine Young Parents,0,0
272,Engaged Generalist,2,3
274,Engaged Generalist,2,3
276,Promo Hunter,1,3
278,Engaged Generalist,2,3
279,Routine Generalist,0,3
280,Engaged Generalist,2,3
282,Routine Generalist,0,3
283,Routine Generalist,0,3
284,Promo Hunter,1,3
285,Routine Young Parents,0,0
286,Engaged Generalist,2,3
287,Routine Generalist,0,3
288,Routine Tech,0,2
290,Routine Family Provisioner,0,1
292,Routine Generalist,0,3
293,Promo Hunter,1,1
295,Routine Generalist,0,3
296,Routine Generalist,0,3
297,Routine Generalist,0,3
298,Routine Generalist,0,3
299,Engaged Generalist,2,3
300,Routine Tech,0,2
301,Engaged Generalist,2,3
303,Routine Generalist,0,3
304,Routine Generalist,0,3
305,Routine Generalist,0,3
306,Engaged Generalist,2,3
307,Routine Young Parents,0,0
308,Promo Hunter,1,3
310,Engaged Generalist,2,3
311,Routine Young Parents,0,0
312,Promo Hunter,1,3
313,Engaged Generalist,2,3
315,Routine Young Parents,0,0
317,Promo Hunter,1,0
321,Routine Generalist,0,3
322,Engaged Generalist,2,3
323,Promo Hunter,1,3
324,Routine Young Parents,0,0
325,Routine Generalist,0,3
326,Engaged Generalist,2,3
328,Routine Generalist,0,3
329,Routine Generalist,0,3
330,Engaged Generalist,2,3
331,Routine Tech,0,2
336,Promo Hunter,1,3
337,Routine Generalist,0,3
338,Routine Tech,0,2
339,Engaged Generalist,2,3
340,Engaged Generalist,2,3
341,Routine Generalist,0,3
342,Engaged Generalist,2,3
343,Promo Hunter,1,3
344,Engaged Generalist,2,3
346,Routine Family Provisioner,0,1
347,Engaged Family Provisioner,2,1
350,Routine Generalist,0,3
351,Routine Generalist,0,3
352,Routine Generalist,0,3
353,Engaged Generalist,2,3
355,Routine Generalist,0,3
356,Routine Young Parents,0,0
358,Routine Generalist,0,3
360,Routine Generalist,0,3
361,Engaged Generalist,2,3
362,Routine Generalist,0,3
363,Routine Tech,0,2
364,Routine Generalist,0,3
365,Routine Young Parents,0,0
366,Routine Young Parents,0,0
367,Routine Generalist,0,3
368,Promo Hunter,1,3
369,Routine Generalist,0,3
370,Routine Generalist,0,3
371,Engaged Generalist,2,3
372,Engaged Generalist,2,3
373,Engaged Generalist,2,3
375,Engaged Generalist,2,3
376,Promo Hunter,1,3
377,Routine Generalist,0,3
378,Routine Generalist,0,3
379,Engaged Generalist,2,3
381,Promo Hunter,1,3
382,Promo Hunter,1,3
383,Routine Generalist,0,3
384,Promo Hunter,1,3
385,Engaged Generalist,2,3
386,Routine Generalist,0,3
387,Engaged Generalist,2,3
389,Routine Young Parents,0,0
390,Routine Tech,0,2
391,Engaged Generalist,2,3
392,Routine Generalist,0,3
393,Routine Young Parents,0,0
394,Promo Hunter,1,3
395,Routine Generalist,0,3
396,Routine Tech,0,2
397,Routine Generalist,0,3
398,Routine Tech,0,2
399,Routine Young Parents,0,0
400,Engaged Generalist,2,0
401,Promo Hunter,1,2
402,Promo Hunter,1,3
403,Promo Hunter,1,0
405,Engaged Generalist,2,3
406,Engaged Generalist,2,3
407,Promo Hunter,1,3
408,Routine Tech,0,2
410,Engaged Generalist,2,3
411,Routine Generalist,0,3
412,Promo Hunter,1,2
413,Engaged Generalist,2,3
414,Engaged Generalist,2,3
416,Routine Young Parents,0,0
417,Routine Generalist,0,3
418,Routine Family Provisioner,0,1
419,Routine Generalist,0,3
420,Routine Young Parents,0,0
421,Routine Generalist,0,3
422,Engaged Generalist,2,3
424,Routine Tech,0,2
425,Routine Young Parents,0,0
426,Routine Tech,0,2
427,Routine Generalist,0,3
428,Engaged Generalist,2,3
429,Routine Generalist,0,3
431,Engaged Generalist,2,3
432,Routine Young Parents,0,0
434,Promo Hunter,1,3
435,Engaged Generalist,2,3
436,Routine Family Provisioner,0,1
437,Routine Generalist,0,3
438,Engaged Generalist,2,3
440,Promo Hunter,1,3
441,Routine Young Parents,0,0
442,Routine Generalist,0,3
443,Promo Hunter,1,3
445,Routine Tech,0,2
446,Promo Hunter,1,3
447,Routine Generalist,0,3
448,Engaged Generalist,2,3
449,Routine Generalist,0,3
450,Engaged Generalist,2,3
451,Engaged Generalist,2,3
452,Engaged Generalist,2,3
453,Routine Generalist,0,3
455,Engaged Generalist,2,3
456,Routine Young Parents,0,0
457,Routine Young Parents,0,0
460,Routine Generalist,0,3
461,Engaged Generalist,2,3
462,Routine Generalist,0,3
464,Routine Generalist,0,3
465,Routine Tech,0,2
467,Routine Generalist,0,3
469,Engaged Generalist,2,3
470,Routine Tech,0,2
471,Promo Hunter,1,1
472,Routine Tech,0,2
473,Engaged Generalist,2,2
474,Engaged Generalist,2,3
475,Routine Young Parents,0,0
476,Engaged Generalist,2,3
477,Engaged Generalist,2,3
479,Routine Generalist,0,3
480,Routine Young Parents,0,0
481,Routine Tech,0,2
482,Promo Hunter,1,3
484,Engaged Generalist,2,3
485,Promo Hunter,1,3
486,Routine Generalist,0,3
487,Engaged Generalist,2,3
488,Engaged Generalist,2,3
489,Engaged Generalist,2,3
490,Engaged Generalist,2,3
491,Engaged Generalist,2,3
492,Routine Generalist,0,3
494,Routine Generalist,0,3
495,Routine Generalist,0,3
496,Routine Young Parents,0,0
497,Engaged Generalist,2,3
498,Routine Generalist,0,3
499,Promo Hunter,1,3
501,Promo Hunter,1,1
502,Routine Generalist,0,3
503,Engaged Generalist,2,3
504,Engaged Generalist,2,3
505,Engaged Generalist,2,3
506,Routine Generalist,0,3
508,Engaged Generalist,2,3
509,Routine Tech,0,2
510,Engaged Family Provisioner,2,1
511,Engaged Generalist,2,3
513,Routine Family Provisioner,0,1
514,Routine Generalist,0,3
515,Routine Young Parents,0,0
516,Routine Tech,0,2
517,Routine Generalist,0,3
518,Routine Generalist,0,3
520,Routine Generalist,0,3
521,Engaged Generalist,2,3
522,Routine Family Provisioner,0,1
523,Engaged Generalist,2,2
524,Promo Hunter,1,3
526,Routine Young Parents,0,0
527,Routine Generalist,0,3
528,Promo Hunter,1,3
529,Promo Hunter,1,3
530,Promo Hunter,1,3
531,Engaged Generalist,2,3
532,Engaged Generalist,2,3
533,Routine Generalist,0,3
534,Engaged Generalist,2,3
535,Routine Young Parents,0,0
536,Routine Young Parents,0,0
537,Engaged Generalist,2,3
538,Promo Hunter,1,3
539,Promo Hunter,1,3
540,Promo Hunter,1,1
541,Promo Hunter,1,3
542,Engaged Generalist,2,3
543,Routine Generalist,0,3
545,Routine Generalist,0,3
547,Routine Young Parents,0,0
548,Routine Generalist,0,3
549,Routine Generalist,0,3
550,Promo Hunter,1,3
551,Routine Family Provisioner,0,1
552,Routine Generalist,0,3
553,Engaged Generalist,2,3
554,Promo Hunter,1,3
556,Engaged Generalist,2,2
557,Promo Hunter,1,3
558,Engaged Generalist,2,2
559,Engaged Generalist,2,3
561,Promo Hunter,1,3
562,Engaged Generalist,2,3
563,Promo Hunter,1,3
565,Promo Hunter,1,3
566,Routine Young Parents,0,0
568,Routine Generalist,0,3
569,Routine Young Parents,0,0
570,Engaged Generalist,2,3
571,Engaged Generalist,2,3
573,Engaged Generalist,2,3
574,Promo Hunter,1,3
575,Engaged Generalist,2,3
576,Engaged Generalist,2,3
577,Engaged Generalist,2,3
578,Routine Generalist,0,3
579,Engaged Generalist,2,3
580,Engaged Generalist,2,3
581,Routine Generalist,0,3
582,Engaged Generalist,2,3
583,Routine Family Provisioner,0,1
584,Promo Hunter,1,3
585,Routine Family Provisioner,0,1
586,Routine Young Parents,0,0
587,Routine Tech,0,2
588,Promo Hunter,1,3
589,Routine Tech,0,2
590,Routine Generalist,0,3
591,Engaged Generalist,2,3
592,Promo Hunter,1,3
593,Promo Hunter,1,0
594,Promo Hunter,1,3
595,Engaged Generalist,2,3
596,Engaged Generalist,2,3
597,Promo Hunter,1,3
598,Routine Tech,0,2
603,Routine Family Provisioner,0,1
604,Routine Generalist,0,3
605,Promo Hunter,1,3
606,Promo Hunter,1,3
609,Engaged Generalist,2,3
611,Routine Young Parents,0,0
613,Routine Tech,0,2
614,Routine Generalist,0,3
615,Routine Generalist,0,3
617,Promo Hunter,1,3
618,Routine Family Provisioner,0,1
619,Engaged Generalist,2,3
621,Routine Tech,0,2
622,Engaged Generalist,2,3
623,Routine Young Parents,0,0
624,Promo Hunter,1,1
625,Promo Hunter,1,3
626,Promo Hunter,1,3
627,Engaged Generalist,2,3
628,Promo Hunter,1,3
629,Promo Hunter,1,3
631,Routine Generalist,0,3
632,Promo Hunter,1,3
633,Routine Generalist,0,3
634,Routine Tech,0,2
635,Routine Young Parents,0,0
636,Routine Young Parents,0,0
637,Routine Family Provisioner,0,1
638,Routine Tech,0,2
639,Engaged Generalist,2,3
640,Routine Generalist,0,3
641,Routine Generalist,0,3
642,Routine Young Parents,0,0
643,Routine Generalist,0,3
644,Routine Young Parents,0,0
645,Promo Hunter,1,3
646,Routine Generalist,0,3
647,Promo Hunter,1,3
648,Routine Tech,0,2
650,Routine Generalist,0,3
653,Promo Hunter,1,1
654,Engaged Generalist,2,3
655,Routine Generalist,0,3
656,Engaged Generalist,2,3
657,Promo Hunter,1,3
658,Routine Generalist,0,3
659,Promo Hunter,1,3
660,Promo Hunter,1,3
662,Engaged Generalist,2,3
663,Promo Hunter,1,3
664,Routine Family Provisioner,0,1
665,Promo Hunter,1,3
666,Promo Hunter,1,3
667,Promo Hunter,1,3
668,Routine Young Parents,0,0
669,Routine Young Parents,0,0
670,Promo Hunter,1,3
671,Promo Hunter,1,1
673,Routine Tech,0,2
674,Routine Young Parents,0,0
675,Routine Young Parents,0,0
676,Routine Generalist,0,3
677,Routine Generalist,0,3
678,Routine Young Parents,0,0
679,Routine Generalist,0,3
680,Routine Generalist,0,3
681,Engaged Generalist,2,3
682,Routine Young Parents,0,0
685,Routine Young Parents,0,0
686,Promo Hunter,1,3
687,Promo Hunter,1,3
688,Promo Hunter,1,3
689,Engaged Family Provisioner,2,1
691,Promo Hunter,1,3
692,Routine Tech,0,2
694,Engaged Generalist,2,3
695,Engaged Generalist,2,3
696,Promo Hunter,1,3
697,Engaged Generalist,2,3
699,Promo Hunter,1,3
700,Promo Hunter,1,2
701,Routine Family Provisioner,0,1
703,Routine Tech,0,2
704,Routine Young Parents,0,0
705,Routine Tech,0,2
707,Routine Young Parents,0,0
708,Routine Young Parents,0,0
709,Promo Hunter,1,3
710,Routine Tech,0,2
712,Routine Generalist,0,3
713,Promo Hunter,1,3
714,Promo Hunter,1,3
715,Promo Hunter,1,3
717,Engaged Family Provisioner,2,1
718,Promo Hunter,1,3
719,Routine Generalist,0,3
721,Promo Hunter,1,3
722,Promo Hunter,1,1
723,Routine Generalist,0,3
725,Routine Family Provisioner,0,1
726,Promo Hunter,1,3
727,Routine Generalist,0,3
728,Engaged Family Provisioner,2,1
729,Routine Generalist,0,3
730,Engaged Generalist,2,3
731,Routine Generalist,0,3
732,Routine Generalist,0,3
733,Routine Young Parents,0,0
734,Routine Generalist,0,3
735,Engaged Generalist,2,3
736,Engaged Generalist,2,3
737,Engaged Generalist,2,2
738,Promo Hunter,1,3
739,Routine Family Provisioner,0,1
741,Routine Generalist,0,3
742,Routine Family Provisioner,0,1
743,Promo Hunter,1,3
744,Routine Young Parents,0,0
745,Engaged Generalist,2,3
746,Routine Tech,0,2
747,Routine Generalist,0,3
748,Routine Generalist,0,3
749,Routine Generalist,0,3
752,Promo Hunter,1,3
753,Routine Young Parents,0,0
754,Engaged Generalist,2,3
755,Engaged Family Provisioner,2,1
757,Engaged Generalist,2,3
758,Promo Hunter,1,3
759,Routine Generalist,0,3
760,Routine Young Parents,0,0
761,Promo Hunter,1,3
762,Engaged Generalist,2,3
763,Promo Hunter,1,3
764,Routine Generalist,0,3
765,Routine Young Parents,0,0
766,Routine Tech,0,2
767,Promo Hunter,1,3
768,Routine Generalist,0,3
769,Promo Hunter,1,3
770,Routine Young Parents,0,0
771,Routine Family Provisioner,0,1
772,Routine Young Parents,0,0
773,Routine Young Parents,0,0
776,Engaged Generalist,2,3
777,Routine Young Parents,0,0
779,Routine Generalist,0,3
780,Routine Generalist,0,3
781,Routine Young Parents,0,0
782,Routine Generalist,0,3
783,Engaged Generalist,2,3
785,Routine Generalist,0,3
787,Routine Tech,0,2
788,Routine Generalist,0,3
789,Promo Hunter,1,1
791,Routine Tech,0,2
792,Routine Young Parents,0,0
793,Promo Hunter,1,3
794,Routine Generalist,0,3
795,Routine Generalist,0,3
797,Routine Generalist,0,3
798,Engaged Generalist,2,3
799,Promo Hunter,1,3
800,Engaged Generalist,2,3
803,Routine Generalist,0,3
804,Promo Hunter,1,0
805,Routine Generalist,0,3
806,Routine Tech,0,2
808,Promo Hunter,1,3
809,Routine Tech,0,2
810,Routine Generalist,0,3
811,Engaged Generalist,2,3
812,Engaged Generalist,2,3
813,Routine Generalist,0,3
814,Promo Hunter,1,3
815,Promo Hunter,1,3
816,Promo Hunter,1,3
817,Engaged Generalist,2,3
818,Engaged Family Provisioner,2,1
819,Routine Generalist,0,3
820,Engaged Generalist,2,3
821,Routine Generalist,0,3
822,Routine Generalist,0,3
823,Routine Young Parents,0,0
824,Engaged Generalist,2,3
826,Routine Young Parents,0,0
827,Engaged Family Provisioner,2,1
830,Routine Young Parents,0,0
831,Routine Generalist,0,3
832,Routine Generalist,0,3
833,Routine Tech,0,2
834,Engaged Generalist,2,3
835,Promo Hunter,1,3
836,Routine Young Parents,0,0
837,Routine Young Parents,0,0
838,Promo Hunter,1,1
839,Routine Young Parents,0,0
840,Promo Hunter,1,3
842,Promo Hunter,1,3
843,Routine Generalist,0,3
844,Promo Hunter,1,3
845,Routine Generalist,0,3
846,Routine Generalist,0,3
847,Promo Hunter,1,3
848,Routine Family Provisioner,0,1
849,Engaged Generalist,2,3
851,Routine Young Parents,0,0
852,Engaged Generalist,2,3
853,Engaged Generalist,2,3
854,Routine Generalist,0,3
855,Routine Generalist,0,3
856,Routine Tech,0,2
857,Routine Young Parents,0,0
859,Routine Young Parents,0,0
860,Routine Generalist,0,3
862,Engaged Generalist,2,3
863,Routine Young Parents,0,0
864,Promo Hunter,1,3
865,Routine Young Parents,0,0
866,Routine Generalist,0,3
867,Engaged Generalist,2,2
868,Routine Young Parents,0,0
870,Routine Generalist,0,3
873,Promo Hunter,1,3
874,Routine Tech,0,2
875,Engaged Family Provisioner,2,1
876,Routine Young Parents,0,0
878,Routine Young Parents,0,0
879,Routine Young Parents,0,0
880,Routine Young Parents,0,0
881,Engaged Generalist,2,3
883,Routine Young Parents,0,0
884,Routine Generalist,0,3
886,Engaged Generalist,2,3
887,Routine Generalist,0,3
889,Routine Generalist,0,3
890,Routine Generalist,0,3
891,Routine Young Parents,0,0
893,Promo Hunter,1,3
894,Routine Generalist,0,3
896,Promo Hunter,1,3
897,Engaged Generalist,2,3
898,Promo Hunter,1,3
899,Promo Hunter,1,3
900,Promo Hunter,1,3
901,Promo Hunter,1,3
902,Engaged Generalist,2,3
903,Engaged Generalist,2,3
904,Promo Hunter,1,3
905,Engaged Generalist,2,3
906,Routine Generalist,0,3
907,Routine Generalist,0,3
908,Engaged Generalist,2,3
909,Routine Generalist,0,3
910,Routine Generalist,0,3
911,Engaged Generalist,2,3
913,Engaged Generalist,2,3
914,Engaged Generalist,2,3
916,Engaged Generalist,2,3
917,Promo Hunter,1,3
918,Engaged Generalist,2,3
919,Promo Hunter,1,2
920,Routine Generalist,0,3
921,Routine Family Provisioner,0,1
922,Engaged Generalist,2,3
923,Routine Generalist,0,3
924,Routine Young Parents,0,0
925,Routine Young Parents,0,0
926,Routine Generalist,0,3
927,Promo Hunter,1,3
928,Routine Generalist,0,3
929,Promo Hunter,1,1
930,Promo Hunter,1,3
931,Routine Young Parents,0,0
933,Routine Tech,0,2
934,Engaged Generalist,2,3
935,Routine Tech,0,2
936,Routine Generalist,0,3
937,Promo Hunter,1,3
938,Engaged Generalist,2,3
939,Routine Tech,0,2
940,Routine Young Parents,0,0
941,Routine Young Parents,0,0
942,Routine Tech,0,2
944,Routine Young Parents,0,0
945,Engaged Generalist,2,3
946,Engaged Generalist,2,3
947,Engaged Generalist,2,3
948,Promo Hunter,1,3
950,Engaged Generalist,2,3
951,Routine Generalist,0,3
953,Routine Generalist,0,3
954,Routine Young Parents,0,0
955,Routine Generalist,0,3
956,Engaged Family Provisioner,2,1
957,Routine Generalist,0,3
958,Routine Generalist,0,3
960,Routine Tech,0,2
962,Routine Young Parents,0,0
963,Routine Young Parents,0,0
964,Engaged Generalist,2,3
965,Engaged Generalist,2,3
966,Promo Hunter,1,3
967,Routine Tech,0,2
968,Routine Generalist,0,3
969,Promo Hunter,1,3
970,Engaged Generalist,2,3
973,Engaged Generalist,2,3
974,Routine Young Parents,0,0
975,Routine Young Parents,0,0
977,Routine Tech,0,2
978,Routine Generalist,0,3
979,Routine Tech,0,2
980,Routine Generalist,0,3
981,Routine Generalist,0,3
982,Routine Tech,0,2
983,Routine Young Parents,0,0
986,Routine Generalist,0,3
989,Engaged Family Provisioner,2,1
990,Promo Hunter,1,3
991,Routine Tech,0,2
992,Engaged Generalist,2,3
993,Routine Generalist,0,3
994,Engaged Generalist,2,3
996,Engaged Generalist,2,3
997,Routine Young Parents,0,0
998,Promo Hunter,1,1
999,Engaged Generalist,2,3
1000,Routine Young Parents,0,0
1001,Routine Young Parents,0,0
1002,Routine Young Parents,0,0
1003,Engaged Generalist,2,3
1004,Routine Generalist,0,3
1007,Routine Tech,0,2
1008,Routine Young Parents,0,0
1009,Routine Young Parents,0,0
1011,Promo Hunter,1,3
1014,Promo Hunter,1,3
1015,Routine Tech,0,2
1016,Engaged Generalist,2,3
1018,Promo Hunter,1,3
1019,Engaged Generalist,2,0
1021,Routine Tech,0,2
1022,Promo Hunter,1,3
1023,Engaged Generalist,2,3
1024,Routine Generalist,0,3
1025,Engaged Generalist,2,3
1026,Routine Tech,0,2
1027,Engaged Generalist,2,3
1028,Routine Tech,0,2
1029,Routine Young Parents,0,0
1030,Engaged Generalist,2,3
1031,Routine Generalist,0,3
1032,Promo Hunter,1,1
1033,Routine Young Parents,0,0
1034,Engaged Generalist,2,3
1035,Promo Hunter,1,1
1038,Promo Hunter,1,3
1039,Engaged Generalist,2,3
1040,Routine Generalist,0,3
1041,Routine Young Parents,0,0
1042,Engaged Generalist,2,3
1043,Routine Generalist,0,3
1044,Routine Generalist,0,3
1045,Promo Hunter,1,3
1046,Routine Generalist,0,3
1048,Routine Generalist,0,3
1049,Routine Generalist,0,3
1050,Routine Generalist,0,3
1051,Routine Generalist,0,3
1052,Routine Generalist,0,3
1055,Routine Tech,0,2
1058,Promo Hunter,1,3
1060,Engaged Generalist,2,3
1061,Engaged Generalist,2,3
1063,Routine Family Provisioner,0,1
1064,Engaged Generalist,2,3
1065,Routine Tech,0,2
1066,Routine Generalist,0,3
1067,Routine Generalist,0,3
1068,Routine Tech,0,2
1069,Routine Family Provisioner,0,1
1071,Routine Tech,0,2
1072,Routine Tech,0,2
1073,Engaged Generalist,2,3
1074,Engaged Generalist,2,3
1075,Engaged Generalist,2,3
1076,Engaged Generalist,2,3
1077,Engaged Generalist,2,3
1078,Routine Generalist,0,3
1079,Routine Young Parents,0,0
1080,Routine Generalist,0,3
1082,Routine Generalist,0,3
1083,Routine Generalist,0,3
1084,Promo Hunter,1,3
1085,Promo Hunter,1,3
1086,Routine Tech,0,2
1087,Promo Hunter,1,3
1088,Routine Generalist,0,3
1089,Engaged Generalist,2,3
1090,Routine Young Parents,0,0
1091,Routine Generalist,0,3
1092,Promo Hunter,1,3
1093,Routine Young Parents,0,0
1094,Engaged Family Provisioner,2,1
1095,Engaged Generalist,2,3
1096,Routine Young Parents,0,0
1097,Engaged Family Provisioner,2,1
1098,Routine Young Parents,0,0
1099,Routine Tech,0,2
1101,Promo Hunter,1,3
1103,Routine Tech,0,2
1104,Routine Tech,0,2
1105,Engaged Generalist,2,3
1106,Routine Generalist,0,3
1108,Engaged Generalist,2,3
1110,Promo Hunter,1,3
1111,Promo Hunter,1,1
1112,Routine Young Parents,0,0
1113,Routine Generalist,0,3
1114,Engaged Generalist,2,3
1115,Routine Tech,0,2
1117,Routine Generalist,0,3
1118,Engaged Generalist,2,3
1119,Engaged Family Provisioner,2,1
1120,Engaged Generalist,2,3
1121,Promo Hunter,1,3
1122,Routine Tech,0,2
1123,Routine Generalist,0,3
1124,Routine Generalist,0,3
1125,Routine Generalist,0,3
1126,Routine Generalist,0,3
1127,Promo Hunter,1,3
1128,Promo Hunter,1,3
1129,Routine Generalist,0,3
1130,Routine Generalist,0,3
1131,Routine Young Parents,0,0
1132,Engaged Generalist,2,3
1133,Engaged Generalist,2,3
1134,Routine Generalist,0,3
1135,Promo Hunter,1,3
1136,Routine Young Parents,0,0
1137,Engaged Generalist,2,3
1138,Engaged Generalist,2,3
1139,Routine Tech,0,2
1140,Routine Tech,0,2
1141,Promo Hunter,1,3
1142,Promo Hunter,1,0
1143,Engaged Generalist,2,3
1145,Engaged Generalist,2,3
1146,Routine Tech,0,2
1150,Routine Generalist,0,3
1152,Routine Generalist,0,3
1153,Routine Generalist,0,3
1154,Engaged Generalist,2,3
1155,Engaged Generalist,2,0
1156,Routine Tech,0,2
1157,Routine Generalist,0,3
1158,Routine Young Parents,0,0
1159,Routine Young Parents,0,0
1160,Routine Tech,0,2
1163,Engaged Generalist,2,3
1164,Engaged Generalist,2,3
1167,Engaged Generalist,2,3
1168,Routine Generalist,0,3
1170,Engaged Generalist,2,3
1171,Promo Hunter,1,3
1172,Engaged Generalist,2,3
1173,Engaged Generalist,2,3
1175,Routine Generalist,0,3
1177,Routine Tech,0,2
1178,Routine Generalist,0,3
1179,Routine Tech,0,2
